Sales Person,Geo,Product,Date,Amount,Boxes
SP01,G4,P04,2022-07-01,8414,495
SP02,G3,P14,2022-07-01,532,54
SP12,G2,P08,2022-07-01,5376,269
SP01,G4,P15,2022-07-01,259,22
SP19,G2,P18,2022-07-01,5530,179
SP17,G1,P13,2022-07-01,2184,122
SP20,G6,P04,2022-07-01,1057,71
SP14,G5,P16,2022-07-01,1036,37
SP10,G5,P17,2022-07-01,4039,176
SP06,G4,P01,2022-07-01,12894,478
SP18,G2,P01,2022-07-01,4669,180
SP04,G4,P16,2022-07-01,6377,246
SP22,G3,P05,2022-07-01,4599,256
SP22,G2,P09,2022-07-01,2751,251
SP10,G1,P06,2022-07-01,15596,975
SP06,G1,P11,2022-07-01,8561,330
SP25,G6,P05,2022-07-01,14273,752
SP02,G4,P13,2022-07-01,2506,148
SP19,G3,P10,2022-07-01,2387,89
SP09,G2,P07,2022-07-01,7553,280
SP22,G4,P22,2022-07-01,3409,171
SP15,G2,P22,2022-07-01,3878,216
SP12,G2,P04,2022-07-01,3052,204
SP18,G2,P21,2022-07-04,19229,1013
SP15,G6,P21,2022-07-04,1988,95
SP12,G6,P09,2022-07-04,147,11
SP20,G6,P12,2022-07-04,2401,134
SP11,G2,P17,2022-07-04,2814,94
SP06,G6,P17,2022-07-04,5390,216
SP23,G3,P02,2022-07-04,3920,262
SP19,G3,P19,2022-07-04,7539,943
SP23,G1,P16,2022-07-05,17248,664
SP18,G6,P03,2022-07-05,1176,66
SP17,G5,P13,2022-07-05,9730,573
SP16,G4,P13,2022-07-05,2226,140
SP18,G6,P12,2022-07-05,7063,643
SP07,G4,P11,2022-07-05,7399,275
SP04,G2,P09,2022-07-05,4284,306
SP07,G4,P04,2022-07-05,4865,271
SP06,G4,P19,2022-07-05,3780,315
SP13,G1,P09,2022-07-05,3059,279
SP11,G6,P11,2022-07-05,6622,276
SP04,G1,P20,2022-07-06,644,34
SP08,G1,P11,2022-07-06,4935,171
SP13,G6,P22,2022-07-06,7182,378
SP09,G5,P09,2022-07-06,539,77
SP20,G6,P19,2022-07-06,637,91
SP07,G2,P15,2022-07-06,1470,184
SP10,G2,P13,2022-07-06,1442,61
SP11,G2,P20,2022-07-06,9023,564
SP03,G6,P01,2022-07-06,2709,101
SP19,G3,P21,2022-07-07,5733,338
SP05,G3,P02,2022-07-07,10451,1307
SP18,G1,P18,2022-07-07,11228,388
SP15,G6,P17,2022-07-07,3073,129
SP09,G5,P13,2022-07-07,5467,288
SP08,G2,P20,2022-07-07,4067,226
SP02,G1,P05,2022-07-08,2814,149
SP24,G4,P17,2022-07-08,2716,105
SP22,G5,P09,2022-07-08,3570,325
SP12,G1,P13,2022-07-08,9562,479
SP17,G4,P22,2022-07-08,2373,104
SP08,G1,P17,2022-07-08,2807,123
SP10,G2,P01,2022-07-08,420,14
SP06,G2,P04,2022-07-08,8239,515
SP05,G4,P02,2022-07-08,6797,486
SP22,G4,P13,2022-07-08,6048,319
SP05,G5,P04,2022-07-08,364,21
SP19,G5,P14,2022-07-08,6496,406
SP24,G2,P09,2022-07-08,1057,106
SP08,G6,P04,2022-07-08,357,17
SP08,G5,P07,2022-07-08,6419,257
SP08,G3,P10,2022-07-08,12726,579
SP16,G2,P13,2022-07-11,6006,376
SP15,G6,P08,2022-07-11,5124,285
SP23,G4,P01,2022-07-11,2709,113
SP01,G5,P01,2022-07-11,7238,315
SP06,G1,P14,2022-07-12,6776,424
SP11,G6,P01,2022-07-12,189,8
SP08,G2,P12,2022-07-12,4669,390
SP01,G3,P19,2022-07-12,490,35
SP08,G5,P19,2022-07-12,4235,283
SP13,G2,P07,2022-07-12,4487,187
SP02,G3,P15,2022-07-12,2653,332
SP04,G4,P10,2022-07-12,5306,253
SP16,G2,P02,2022-07-12,6888,689
SP08,G4,P16,2022-07-12,721,24
SP14,G1,P10,2022-07-12,8610,345
SP10,G2,P12,2022-07-12,11739,903
SP16,G1,P09,2022-07-13,4774,341
SP10,G3,P02,2022-07-13,6307,789
SP21,G3,P08,2022-07-13,4340,217
SP09,G1,P19,2022-07-13,1078,77
SP13,G6,P03,2022-07-13,5418,247
SP03,G2,P21,2022-07-13,6069,434
SP15,G2,P21,2022-07-13,12334,686
SP08,G6,P07,2022-07-13,728,32
SP21,G1,P15,2022-07-13,2135,165
SP07,G4,P13,2022-07-13,2121,89
SP12,G6,P01,2022-07-14,6881,222
SP24,G4,P07,2022-07-14,1239,50
SP16,G5,P05,2022-07-14,3598,257
SP18,G3,P20,2022-07-14,6580,347
SP08,G6,P10,2022-07-14,1127,54
SP22,G1,P22,2022-07-14,3605,139
SP09,G4,P11,2022-07-14,5096,196
SP25,G2,P08,2022-07-14,2135,98
SP13,G2,P04,2022-07-14,35,3
SP11,G1,P19,2022-07-14,13090,935
SP05,G6,P20,2022-07-14,15785,1128
SP20,G5,P12,2022-07-14,14574,810
SP11,G4,P17,2022-07-14,3556,143
SP02,G2,P12,2022-07-14,14532,969
SP23,G4,P17,2022-07-14,4445,159
SP17,G2,P01,2022-07-14,10339,357
SP03,G4,P11,2022-07-14,1351,55
SP02,G4,P15,2022-07-14,4011,335
SP17,G6,P12,2022-07-14,5306,483
SP24,G2,P11,2022-07-14,18704,585
SP21,G3,P20,2022-07-14,9310,582
SP04,G4,P06,2022-07-14,1211,61
SP09,G3,P04,2022-07-15,3094,148
SP17,G4,P04,2022-07-15,4949,248
SP06,G4,P08,2022-07-15,308,19
SP11,G1,P17,2022-07-15,7546,329
SP12,G2,P13,2022-07-15,6713,373
SP14,G4,P17,2022-07-15,6895,300
SP02,G4,P05,2022-07-15,3430,202
SP21,G4,P14,2022-07-18,4165,348
SP25,G1,P03,2022-07-18,2380,159
SP03,G6,P14,2022-07-18,6594,413
SP04,G5,P04,2022-07-18,1428,76
SP19,G5,P07,2022-07-18,2646,116
SP10,G1,P01,2022-07-18,238,11
SP24,G5,P04,2022-07-18,945,50
SP11,G6,P10,2022-07-18,9436,337
SP17,G2,P10,2022-07-18,4081,152
SP04,G2,P08,2022-07-18,10556,587
SP01,G2,P14,2022-07-18,2331,167
SP11,G3,P16,2022-07-19,896,32
SP20,G1,P18,2022-07-19,4214,169
SP20,G3,P09,2022-07-19,2121,177
SP23,G1,P13,2022-07-19,1029,47
SP08,G1,P05,2022-07-19,15407,771
SP03,G4,P17,2022-07-19,10129,406
SP13,G2,P20,2022-07-19,16380,1092
SP24,G1,P14,2022-07-19,3899,279
SP05,G3,P10,2022-07-19,12075,432
SP11,G2,P18,2022-07-19,10696,428
SP19,G2,P03,2022-07-19,4039,238
SP18,G1,P22,2022-07-19,5250,202
SP21,G1,P08,2022-07-19,8113,508
SP08,G6,P06,2022-07-19,161,10
SP07,G6,P10,2022-07-19,8218,294
SP06,G5,P15,2022-07-19,742,53
SP03,G2,P11,2022-07-19,3087,111
SP08,G1,P18,2022-07-19,5110,155
SP04,G4,P04,2022-07-19,5873,267
SP11,G6,P05,2022-07-19,4641,357
SP04,G4,P22,2022-07-20,1155,45
SP10,G6,P02,2022-07-20,784,49
SP25,G4,P05,2022-07-20,5369,384
SP10,G3,P06,2022-07-20,343,18
SP10,G6,P19,2022-07-20,7007,584
SP15,G1,P15,2022-07-20,126,13
SP16,G1,P08,2022-07-20,3073,134
SP19,G4,P21,2022-07-21,7805,488
SP09,G6,P11,2022-07-21,3087,124
SP13,G4,P21,2022-07-21,9030,452
SP04,G2,P20,2022-07-21,7805,411
SP18,G1,P11,2022-07-21,6979,233
SP19,G1,P07,2022-07-21,11284,513
SP17,G5,P01,2022-07-21,2408,90
SP03,G6,P02,2022-07-21,5299,332
SP10,G6,P16,2022-07-21,6293,234
SP08,G5,P03,2022-07-21,280,17
SP05,G1,P13,2022-07-21,644,30
SP07,G5,P21,2022-07-21,2191,110
SP16,G4,P21,2022-07-21,427,26
SP14,G3,P20,2022-07-21,5537,426
SP18,G5,P08,2022-07-21,742,31
SP23,G3,P13,2022-07-21,4200,248
SP08,G6,P15,2022-07-21,5299,442
SP08,G2,P17,2022-07-21,3829,160
SP20,G4,P18,2022-07-21,5747,192
SP06,G4,P13,2022-07-21,2345,147
SP12,G4,P09,2022-07-22,4312,616
SP25,G4,P13,2022-07-22,1358,68
SP01,G2,P09,2022-07-22,13146,1644
SP05,G5,P14,2022-07-22,12047,927
SP08,G3,P20,2022-07-22,5971,460
SP16,G4,P02,2022-07-22,3038,254
SP20,G6,P16,2022-07-22,8022,268
SP16,G3,P15,2022-07-22,2226,248
SP10,G3,P17,2022-07-22,2366,79
SP24,G5,P02,2022-07-22,8386,599
SP03,G3,P16,2022-07-22,13230,576
SP17,G6,P03,2022-07-22,1771,111
SP13,G6,P04,2022-07-22,3416,228
SP17,G6,P13,2022-07-22,15197,634
SP08,G4,P15,2022-07-22,5971,498
SP02,G6,P09,2022-07-22,13335,1667
SP23,G3,P21,2022-07-22,4613,210
SP12,G1,P12,2022-07-22,10430,580
SP20,G2,P03,2022-07-22,168,10
SP25,G6,P08,2022-07-22,4606,192
SP11,G6,P14,2022-07-22,1491,136
SP02,G1,P08,2022-07-25,12194,509
SP12,G6,P04,2022-07-25,10122,533
SP09,G5,P08,2022-07-25,1841,88
SP16,G6,P09,2022-07-25,6958,580
SP07,G1,P08,2022-07-25,749,35
SP16,G6,P04,2022-07-25,3507,195
SP17,G4,P15,2022-07-25,7294,562
SP10,G1,P12,2022-07-25,5040,420
SP10,G1,P16,2022-07-25,3913,157
SP09,G2,P02,2022-07-25,3598,300
SP19,G2,P10,2022-07-25,8911,319
SP08,G4,P22,2022-07-25,42,2
SP13,G1,P21,2022-07-25,2282,109
SP23,G3,P08,2022-07-25,12964,541
SP09,G3,P20,2022-07-25,5775,361
SP16,G4,P10,2022-07-25,10787,400
SP20,G5,P21,2022-07-25,6342,374
SP14,G1,P22,2022-07-25,11564,463
SP03,G2,P04,2022-07-25,2793,156
SP18,G3,P19,2022-07-25,1603,134
SP06,G5,P03,2022-07-25,3052,180
SP12,G3,P21,2022-07-25,1659,83
SP01,G4,P05,2022-07-25,3143,210
SP02,G2,P21,2022-07-25,12782,609
SP21,G4,P19,2022-07-25,343,32
SP10,G4,P14,2022-07-25,1785,138
SP10,G3,P09,2022-07-25,4914,615
SP18,G6,P14,2022-07-26,1869,208
SP04,G1,P10,2022-07-26,8512,387
SP23,G6,P09,2022-07-26,9296,716
SP20,G5,P07,2022-07-26,6034,263
SP22,G1,P11,2022-07-26,9471,365
SP15,G1,P22,2022-07-26,3815,166
SP01,G4,P06,2022-07-26,9485,527
SP16,G2,P16,2022-07-26,3549,132
SP04,G6,P09,2022-07-26,1512,117
SP13,G3,P16,2022-07-26,2296,96
SP11,G1,P01,2022-07-27,17402,697
SP15,G6,P12,2022-07-27,11816,844
SP17,G4,P16,2022-07-27,10612,425
SP01,G2,P01,2022-07-27,5558,192
SP21,G6,P04,2022-07-27,14056,781
SP09,G2,P16,2022-07-27,5131,166
SP16,G2,P08,2022-07-27,1477,87
SP06,G5,P04,2022-07-27,7686,549
SP23,G6,P13,2022-07-27,8722,460
SP08,G6,P16,2022-07-27,6370,206
SP03,G6,P13,2022-07-27,4074,240
SP24,G4,P11,2022-07-27,1309,51
SP07,G5,P20,2022-07-27,4991,357
SP04,G3,P22,2022-07-27,6965,367
SP15,G5,P18,2022-07-27,10199,408
SP12,G4,P21,2022-07-27,7392,390
SP01,G4,P12,2022-07-27,5880,392
SP04,G2,P11,2022-07-27,5950,238
SP14,G2,P16,2022-07-27,10395,336
SP22,G1,P07,2022-07-27,6174,247
SP04,G4,P19,2022-07-27,15239,1524
SP21,G3,P09,2022-07-27,2219,247
SP17,G4,P19,2022-07-27,3150,243
SP17,G6,P15,2022-07-27,2968,212
SP02,G3,P05,2022-07-27,3241,163
SP15,G3,P07,2022-07-27,3605,151
SP20,G3,P08,2022-07-28,3640,174
SP11,G3,P08,2022-07-28,1309,77
SP13,G1,P06,2022-07-28,10346,739
SP15,G3,P04,2022-07-28,1071,54
SP11,G6,P19,2022-07-28,6328,791
SP07,G3,P11,2022-07-28,1820,68
SP09,G1,P21,2022-07-28,3437,157
SP17,G6,P14,2022-07-28,4550,455
SP01,G3,P07,2022-07-28,2968,110
SP14,G2,P06,2022-07-28,12565,898
SP17,G3,P01,2022-07-28,8246,318
SP09,G1,P05,2022-07-28,1190,70
SP24,G4,P06,2022-07-28,3283,183
SP08,G5,P18,2022-07-28,3087,115
SP20,G1,P21,2022-07-28,6531,297
SP16,G2,P14,2022-07-28,4228,249
SP24,G2,P17,2022-07-28,10094,389
SP21,G4,P01,2022-07-28,182,6
SP22,G4,P14,2022-07-28,616,37
SP24,G2,P20,2022-07-29,12131,809
SP07,G2,P07,2022-07-29,2394,93
SP12,G1,P14,2022-07-29,14287,841
SP11,G4,P03,2022-07-29,10941,730
SP24,G6,P07,2022-07-29,7777,260
SP06,G3,P09,2022-07-29,9436,858
SP07,G3,P12,2022-07-29,1267,116
SP07,G2,P11,2022-07-29,8806,327
SP06,G6,P21,2022-07-29,3640,243
SP07,G6,P17,2022-07-29,4900,182
SP18,G5,P14,2022-07-29,5558,348
SP25,G4,P03,2022-07-29,9142,436
SP02,G6,P05,2022-07-29,3514,235
SP19,G3,P02,2022-07-29,140,10
SP15,G6,P10,2022-08-01,11844,439
SP03,G4,P01,2022-08-01,6517,233
SP07,G1,P01,2022-08-01,8715,282
SP05,G1,P16,2022-08-01,4851,180
SP01,G2,P16,2022-08-01,10983,379
SP21,G5,P15,2022-08-01,3290,329
SP11,G5,P16,2022-08-01,6545,212
SP03,G3,P19,2022-08-01,441,45
SP14,G1,P21,2022-08-01,9849,580
SP09,G4,P14,2022-08-01,3073,308
SP17,G2,P16,2022-08-01,4452,149
SP12,G3,P13,2022-08-01,10220,538
SP09,G6,P19,2022-08-01,3150,210
SP07,G2,P20,2022-08-01,6083,381
SP08,G6,P12,2022-08-01,14063,1407
SP07,G6,P19,2022-08-01,4578,306
SP19,G1,P14,2022-08-01,6454,461
SP15,G2,P18,2022-08-02,6650,256
SP01,G1,P22,2022-08-02,2436,94
SP21,G4,P21,2022-08-02,6944,331
SP05,G1,P11,2022-08-02,19817,684
SP01,G1,P02,2022-08-02,3521,235
SP12,G2,P11,2022-08-02,10458,327
SP24,G4,P08,2022-08-02,1302,57
SP10,G5,P11,2022-08-02,7952,249
SP13,G5,P06,2022-08-02,4753,265
SP11,G1,P13,2022-08-02,11452,546
SP03,G1,P10,2022-08-02,9345,390
SP16,G1,P05,2022-08-02,7490,357
SP25,G1,P16,2022-08-02,1519,57
SP09,G6,P20,2022-08-02,3087,155
SP06,G6,P20,2022-08-02,2352,168
SP17,G3,P15,2022-08-02,11578,891
SP11,G2,P22,2022-08-02,462,22
SP24,G1,P17,2022-08-03,6916,315
SP11,G1,P09,2022-08-03,3248,542
SP25,G3,P01,2022-08-03,6475,240
SP23,G6,P22,2022-08-03,9009,501
SP17,G3,P14,2022-08-03,2835,189
SP14,G1,P01,2022-08-03,7644,294
SP19,G6,P19,2022-08-03,3360,240
SP19,G2,P05,2022-08-03,1379,99
SP22,G2,P16,2022-08-03,9534,382
SP17,G2,P22,2022-08-03,14448,657
SP24,G2,P15,2022-08-03,3829,240
SP03,G4,P09,2022-08-04,9086,758
SP15,G3,P01,2022-08-04,5803,194
SP25,G6,P18,2022-08-04,182,7
SP18,G6,P13,2022-08-04,9863,520
SP06,G4,P09,2022-08-04,4046,289
SP09,G6,P12,2022-08-04,3493,350
SP13,G3,P03,2022-08-04,392,18
SP05,G1,P10,2022-08-04,2534,111
SP22,G6,P13,2022-08-04,7084,308
SP05,G6,P09,2022-08-04,4809,344
SP16,G3,P07,2022-08-04,7959,266
SP15,G3,P08,2022-08-04,10521,527
SP15,G3,P12,2022-08-04,56,5
SP19,G6,P15,2022-08-04,3017,189
SP12,G1,P09,2022-08-04,18949,2707
SP24,G6,P01,2022-08-04,8764,338
SP14,G1,P04,2022-08-04,12201,643
SP20,G2,P10,2022-08-04,11935,460
SP01,G2,P20,2022-08-04,3724,266
SP23,G3,P06,2022-08-04,2646,166
SP03,G1,P14,2022-08-04,686,46
SP12,G5,P20,2022-08-04,2037,128
SP23,G1,P21,2022-08-04,6300,300
SP11,G3,P22,2022-08-04,2541,111
SP04,G1,P04,2022-08-04,1883,118
SP08,G1,P10,2022-08-04,10255,446
SP22,G6,P11,2022-08-05,5803,233
SP09,G1,P02,2022-08-05,8260,1033
SP24,G1,P15,2022-08-05,14868,1859
SP03,G2,P06,2022-08-05,4137,276
SP10,G6,P11,2022-08-05,7161,276
SP24,G2,P07,2022-08-05,9625,332
SP19,G3,P16,2022-08-05,12852,429
SP18,G3,P06,2022-08-05,7546,581
SP19,G2,P06,2022-08-05,4123,275
SP21,G1,P16,2022-08-05,13174,573
SP17,G2,P02,2022-08-05,7637,546
SP18,G2,P15,2022-08-05,3311,332
SP21,G1,P04,2022-08-05,2338,107
SP06,G1,P17,2022-08-08,3465,139
SP17,G5,P22,2022-08-08,2345,107
SP18,G3,P16,2022-08-08,12698,471
SP01,G4,P13,2022-08-08,6678,334
SP12,G3,P15,2022-08-08,4851,324
SP08,G4,P07,2022-08-08,336,12
SP12,G3,P09,2022-08-08,2366,198
SP08,G2,P08,2022-08-08,10598,461
SP01,G1,P20,2022-08-08,13293,665
SP23,G5,P02,2022-08-08,2086,261
SP04,G5,P22,2022-08-08,2751,120
SP02,G3,P10,2022-08-08,5481,275
SP09,G2,P20,2022-08-08,5628,433
SP22,G2,P17,2022-08-08,2660,89
SP20,G1,P03,2022-08-09,1386,82
SP17,G6,P01,2022-08-09,11060,382
SP16,G5,P21,2022-08-09,2919,172
SP25,G3,P08,2022-08-09,8680,457
SP09,G2,P10,2022-08-09,1484,71
SP17,G3,P21,2022-08-09,16919,996
SP21,G5,P11,2022-08-09,13188,440
SP11,G5,P04,2022-08-09,4998,294
SP14,G6,P13,2022-08-09,6146,342
SP19,G1,P01,2022-08-09,5621,217
SP18,G6,P05,2022-08-09,980,47
SP13,G2,P03,2022-08-10,7343,350
SP01,G3,P17,2022-08-10,1750,63
SP05,G1,P06,2022-08-10,2464,165
SP09,G2,P01,2022-08-10,1974,86
SP22,G5,P19,2022-08-10,11823,986
SP15,G4,P13,2022-08-10,7350,335
SP15,G3,P15,2022-08-10,4165,417
SP03,G1,P13,2022-08-10,630,28
SP09,G3,P15,2022-08-10,2282,143
SP17,G3,P12,2022-08-10,5250,292
SP06,G3,P03,2022-08-10,11676,730
SP17,G5,P17,2022-08-10,14917,533
SP22,G3,P18,2022-08-11,4634,155
SP05,G2,P18,2022-08-11,819,27
SP10,G1,P07,2022-08-11,2422,106
SP13,G3,P18,2022-08-11,1463,59
SP15,G3,P18,2022-08-11,1050,32
SP20,G6,P22,2022-08-11,1526,85
SP03,G4,P02,2022-08-11,427,27
SP06,G2,P10,2022-08-11,10976,440
SP04,G4,P05,2022-08-12,6503,407
SP13,G6,P08,2022-08-12,21,1
SP05,G6,P06,2022-08-12,7063,393
SP24,G3,P22,2022-08-12,3990,200
SP14,G4,P19,2022-08-12,1806,129
SP16,G1,P14,2022-08-12,10136,597
SP12,G6,P03,2022-08-12,1288,62
SP20,G3,P14,2022-08-12,1295,87
SP09,G2,P19,2022-08-12,6461,718
SP22,G4,P18,2022-08-12,4949,155
SP18,G4,P12,2022-08-12,5432,302
SP15,G3,P17,2022-08-12,7112,246
SP12,G6,P22,2022-08-12,266,11
SP05,G2,P02,2022-08-12,6202,414
SP22,G4,P11,2022-08-15,1057,43
SP15,G6,P07,2022-08-15,1925,67
SP04,G1,P13,2022-08-15,1841,77
SP07,G3,P10,2022-08-15,1204,61
SP04,G4,P13,2022-08-15,4074,186
SP16,G2,P18,2022-08-15,4473,150
SP16,G6,P15,2022-08-15,2947,246
SP23,G2,P16,2022-08-15,15386,642
SP04,G6,P01,2022-08-15,4690,188
SP24,G2,P14,2022-08-15,343,39
SP14,G3,P05,2022-08-15,3052,146
SP19,G5,P18,2022-08-15,686,25
SP04,G3,P14,2022-08-15,6993,538
SP21,G6,P01,2022-08-16,5236,169
SP06,G1,P10,2022-08-16,8638,333
SP07,G4,P18,2022-08-16,5712,191
SP03,G2,P05,2022-08-16,6258,330
SP04,G2,P19,2022-08-16,3234,294
SP15,G1,P16,2022-08-16,17577,677
SP11,G2,P06,2022-08-16,12684,668
SP05,G1,P08,2022-08-16,1239,54
SP15,G6,P02,2022-08-16,3402,243
SP12,G1,P21,2022-08-16,11382,633
SP18,G1,P01,2022-08-16,7133,265
SP22,G1,P01,2022-08-17,8309,333
SP23,G4,P12,2022-08-17,1435,131
SP02,G3,P06,2022-08-17,3227,216
SP25,G4,P07,2022-08-17,133,6
SP05,G5,P08,2022-08-17,5446,273
SP12,G1,P08,2022-08-17,4424,261
SP22,G6,P01,2022-08-17,1827,80
SP04,G4,P18,2022-08-17,8232,305
SP07,G5,P02,2022-08-17,861,62
SP01,G4,P19,2022-08-17,8099,675
SP17,G5,P20,2022-08-17,5894,281
SP25,G2,P11,2022-08-17,8211,257
SP07,G1,P11,2022-08-17,10360,415
SP14,G6,P01,2022-08-17,5145,166
SP08,G6,P02,2022-08-17,9163,1146
SP17,G1,P14,2022-08-17,15323,1393
SP16,G3,P09,2022-08-17,7994,1000
SP13,G3,P21,2022-08-17,6363,455
SP20,G4,P22,2022-08-17,3262,172
SP05,G5,P07,2022-08-17,2793,127
SP17,G1,P16,2022-08-18,8491,340
SP02,G5,P17,2022-08-18,13685,571
SP21,G3,P14,2022-08-18,770,52
SP25,G3,P02,2022-08-18,8631,1079
SP22,G4,P12,2022-08-18,4536,267
SP17,G6,P08,2022-08-18,14497,605
SP17,G5,P21,2022-08-18,7672,452
SP03,G5,P08,2022-08-18,10878,573
SP02,G5,P02,2022-08-18,12572,1397
SP19,G5,P02,2022-08-18,1575,105
SP02,G3,P18,2022-08-18,5453,166
SP19,G4,P18,2022-08-18,4802,155
